item_id,item_name,type,price,quantity,time
2,Cannonball,BUY,185,1,1749838200
2,Cannonball,SELL,202,1,1749838500
2,Cannonball,BUY,190,1,1749840000
2,Cannonball,SELL,205,1,1749840300
2,Cannonball,BUY,193,1,1749844800
2,Cannonball,SELL,201,1,1749845100
2,Cannonball,BUY,196,1,1749845400
2,Cannonball,SELL,205,1,1749845700
2,Cannonball,BUY,197,1,1749847200
2,Cannonball,SELL,204,1,1749847500
2,Cannonball,BUY,192,1,1749847500
2,Cannonball,SELL,200,1,1749847800
2,Cannonball,BUY,195,1,1749847800
2,Cannonball,SELL,200,1,1749848100
2,Cannonball,BUY,191,1,1749848100
2,Cannonball,SELL,204,1,1749848400
2,Cannonball,BUY,195,1,1749848700
2,Cannonball,SELL,205,1,1749849000
2,Cannonball,BUY,195,1,1749849000
2,Cannonball,SELL,203,1,1749849300
2,Cannonball,BUY,195,1,1749849300
2,Cannonball,SELL,204,1,1749849600
2,Cannonball,BUY,195,1,1749849600
2,Cannonball,SELL,206,1,1749849900
2,Cannonball,BUY,196,1,1749849900
2,Cannonball,SELL,209,1,1749850200
2,Cannonball,BUY,189,1,1749850500
2,Cannonball,SELL,198,1,1749850800
2,Cannonball,BUY,191,1,1749850800
2,Cannonball,SELL,199,1,1749851100
2,Cannonball,BUY,190,1,1749851100
2,Cannonball,SELL,197,1,1749851400
2,Cannonball,BUY,187,1,1749851400
2,Cannonball,SELL,199,1,1749851700
2,Cannonball,BUY,185,1,1749851700
2,Cannonball,SELL,199,1,1749852000
2,Cannonball,BUY,189,1,1749852000
2,Cannonball,SELL,198,1,1749852300
2,Cannonball,BUY,192,1,1749852300
2,Cannonball,SELL,200,1,1749852600
2,Cannonball,BUY,187,1,1749852600
2,Cannonball,SELL,200,1,1749852900
2,Cannonball,BUY,188,1,1749852900
2,Cannonball,SELL,203,1,1749853200
2,Cannonball,BUY,191,1,1749855600
2,Cannonball,SELL,198,1,1749855900
2,Cannonball,BUY,194,1,1749857100
2,Cannonball,SELL,202,1,1749857400
2,Cannonball,BUY,194,1,1749857400
2,Cannonball,SELL,206,1,1749857700
2,Cannonball,BUY,187,1,1749858000
2,Cannonball,SELL,200,1,1749858300
2,Cannonball,BUY,188,1,1749858600
2,Cannonball,SELL,208,1,1749858900
2,Cannonball,BUY,194,1,1749861600
2,Cannonball,SELL,206,1,1749861900
2,Cannonball,BUY,190,1,1749862200
2,Cannonball,SELL,201,1,1749862500
2,Cannonball,BUY,192,1,1749862500
2,Cannonball,SELL,200,1,1749862800
2,Cannonball,BUY,191,1,1749862800
2,Cannonball,SELL,201,1,1749863100
2,Cannonball,BUY,192,1,1749863100
2,Cannonball,SELL,203,1,1749863400
2,Cannonball,BUY,191,1,1749863400
2,Cannonball,SELL,203,1,1749863700
2,Cannonball,BUY,191,1,1749863700
2,Cannonball,SELL,202,1,1749864000
2,Cannonball,BUY,190,1,1749864000
2,Cannonball,SELL,200,1,1749864300
2,Cannonball,BUY,194,1,1749864300
2,Cannonball,SELL,199,1,1749864600
